SMILES,absorption,emission,phosphorescence_peak,hl_gap,soqy,flqy,metal_complex,reference_DOI
O=C(OC)C1=CC2=NC(C3=CC=C(C=C3)OC)=CN2C=C1,355.0,427.0,,,,0.39,,10.1021ja204016e_0306
O=C(OC)C1=CC2=NC(C3=CC=C(C=C3)OC)=C(N2C=C1)N,426.0,520.0,,,,0.43,,10.1021ja204016e_0306
O=C(C1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1)OC,387.0,528.0,,,,0.49,,10.1021ja204016e_0306
COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C(C(OC)=O)=CC=C4)C4=N2,355.0,627.0,,,,0.002,,10.1021ja204016e_0306
COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC=N4)C4=N2,365.0,560.0,,,,0.009,,10.1021ja204016e_0306
COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,355.0,491.0,,,,0.46,,10.1021ja204016e_0306
COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC=C4)C4=N2,350.0,490.0,,,,0.25,,10.1021ja204016e_0306
OCC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,341.0,495.0,,,,0.29,,10.1021ja204016e_0306
ClC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,357.0,518.0,,,,0.08,,10.1021ja204016e_0306
N#CC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,389.0,525.0,,,,0.42,,10.1021ja204016e_0306
CCCCCCC1=C(NC2CCCCC2)N(C=CC(C(OC)=O)=C3)C3=N1,368.0,516.0,,,,0.24,,10.1021ja204016e_0306
CCCCCCCCC1=C(NC2CCCCC2)N(C=CC(C(OC)=O)=C3)C3=N1,368.0,516.0,,,,0.24,,10.1021ja204016e_0306
CCCCCCCCC1=C(NC2CCCCC2)N(C=CN=C3)C3=N1,329.0,485.0,,,,0.21,,10.1021ja204016e_0306
BrC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,388.0,524.0,,,,0.42,,10.1021ja204016e_0306
COC1=CC=CC(C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2)=C1,384.0,526.0,,,,0.51,,10.1021ja204016e_0306
O=C(C1=CC2=NC(C(C=C3)=CC=C3N4C=CN=C4)=C(NC5CCCCC5)N2C=C1)OC,387.0,529.0,,,,0.83,,10.1021ja204016e_0306
CN1C(C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2)=CC=C1,392.0,530.0,,,,0.64,,10.1021ja204016e_0306
OC1=CC(OC)=CC=C1C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,391.0,531.0,,,,0.1,,10.1021ja204016e_0306
ClC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,392.0,532.0,,,,0.67,,10.1021ja204016e_0306
O=C(C1=CC2=NC(C3=CNC=N3)=C(NC4CCCCC4)N2C=C1)OC,400.0,532.0,,,,0.63,,10.1021ja204016e_0306
O=C(C1=CC2=NC(C(O3)=CC=C3S(=O)(O)=O)=C(NC4CCCCC4)N2C=C1)OC,393.0,533.0,,,,0.31,,10.1021ja204016e_0306
OC1=CC(O)=CC=C1C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,394.0,534.0,,,,0.1,,10.1021ja204016e_0306
