,index,name,metal_complex,SMILES,max_absorption_peak,max_emission_peak,solvant_spectrum,molar_extinction_coefficient,quantum_yield_fluorescence,max_phosphorescence_peak,quantum_yield_singlet_oxygen,solvant_quantum_yield,energy_level_exited_triplet_state,energy_level_HUMO,energy_level_LUMO,difference_HOMO_and_LUMO,method_for_HOMO/LUMO,all_absoption_peaks,reference_DOI
0,1_0,PFSCN2,FALSE,O=C(/C(C#N)=C/C(S1)=CC=C1C(C=C2)=CC3=C2N(C(C=CC(C4=CC=C(/C=C(C#N)/C(O)=O)S4)=C5)=C5S3)C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)O,445,,DMF,25110,,,,,,-5.37,-3.12,-2.25,electrochemistry,,10.1166/jnn.2014.9450
1,1_1,PFSRO2 ,FALSE,O=C(N(CC(O)=O)C(S/1)=S)C1=C/C(S2)=CC=C2C(C=C3)=CC4=C3N(C(C=CC(C5=CC=C(/C=C6SC(N(CC(O)=O)C/6=O)=S)S5)=C7)=C7S4)C8=CC(C(F)(F)F)=CC(C(F)(F)F)=C8,496,,DMF,36993,,,,,,-5.31,-3.27,-2.04,electrochemistry,,10.1166/jnn.2014.9450
2,1_2,PFSOX2 ,FALSE,O=C(N(C1=CC=CC=C1)N=C/2C(O)=O)C2=C/C(S3)=CC=C3C(C=C4)=CC5=C4N(C(C=CC(C6=CC=C(/C=C7C(C(O)=O)=NN(C8=CC=CC=C8)C/7=O)S6)=C9)=C9S5)C%10=CC(C(F)(F)F)=CC(C(F)(F)F)=C%10,516,,DMF,45636,,,,,,-5.14,-3.21,-1.93,electrochemistry,,10.1166/jnn.2014.9450
3,1_3,NQX5,FALSE,CC(C)CCOC(C=C1)=CC=C1N2C3=C(C=CC=C3)SC4=C2C=CC(/C=C/C(N=C(C=C(C(O)=O)C(C(O)=O)=C5)C5=N6)=C6/C=C/C(C=C7)=CC8=C7N(C(C=CC=C9)=C9S8)C%10=CC=C(OCCC(C)C)C=C%10)=C4,471,,THF,38018,,,,,,1.09,2.21,-1.12,electrochemistry,,10.1016/j.dyepig.2019.107568
4,1_4,NQX8,FALSE,CC(C)CCOC(C=C1)=CC=C1N(C(C=CC=C2)=C2S3)C(C3=C4)=CC=C4/C=C/C(C=C5)=CC6=C5N(C7=CC=C(OCCC(C)C)C=C7)C8=CC=C(C=C8S6)/C=C/C9=C(/C=C/C%10=CC=C(N(C%11=CC=C(OCCC(C)C)C=C%11)C(C=CC(/C=C/C%12=CC=C%13C(SC(C=CC=C%14)=C%14N%13C%15=CC=C(OCCC(C)C)C=C%15)=C%12)=C%16)=C%16S%17)C%17=C%10)N=C(C=C(C(O)=O)C(C(O)=O)=C%18)C%18=N9,490,,THF,53703,,,,,,0.98,2.09,-1.11,electrochemistry,,10.1016/j.dyepig.2019.107568
5,1_5,NQX9,FALSE,CC(C)CCOC(C=C1)=CC=C1N(C(C=CC(/C=C/C2=CC(SC(C=CC=C3)=C3N4C5=CC=C(OCCC(C)C)C=C5)=C4C=C2)=C6)=C6S7)C(C7=C8)=CC=C8/C=C/C(C=C9)=CC%10=C9N(C%11=CC=C(OCCC(C)C)C=C%11)C%12=CC=C(C=C%12S%10)/C=C/C%13=C(/C=C/C%14=CC=C(N(C%15=CC=C(OCCC(C)C)C=C%15)C(C=CC(/C=C/C%16=CC=C%17C(SC(C=C(/C=C/C%18=CC=C(N(C%19=CC=C(OCCC(C)C)C=C%19)C(C=CC=C%20)=C%20S%21)C%21=C%18)C=C%22)=C%22N%17C%23=CC=C(OCCC(C)C)C=C%23)=C%16)=C%24)=C%24S%25)C%25=C%14)N=C(C=C(C(O)=O)C(C(O)=O)=C%26)C%26=N%13,439,,THF,104712,,,,,,0.92,2.13,-1.21,electrochemistry,,10.1016/j.dyepig.2019.107568
6,1_6,NQX10,FALSE,CC(C)CCOC(C=C1)=CC=C1N2C3=C(C=CC=C3)SC4=C2C=CC(/C=C/C5=CC=C(S5)C6=C(C7=CC=C(/C=C/C8=CC=C(N(C9=CC=C(OCCC(C)C)C=C9)C(C=CC=C%10)=C%10S%11)C%11=C8)S7)N=C(C=C(C(O)=O)C(C(O)=O)=C%12)C%12=N6)=C4,445,,THF,37153,,,,,,1.18,2.31,-1.13,electrochemistry,,10.1016/j.dyepig.2019.107568
7,1_7,NQX11,FALSE,CC(C)CCOC(C=C1)=CC=C1N2C3=C(C=CC=C3)SC4=C2C=CC(/C=C/C5=C(/C=C/C6=CC=C(N(C7=CC=C(OCCC(C)C)C=C7)C(C=CC=C8)=C8S9)C9=C6)N=C%10C(C=C(C%11=CC=C(C(O)=O)S%11)C(C%12=CC=C(C(O)=O)S%12)=C%10)=N5)=C4.C,484,,THF,44668,,,,,,1.22,2.19,-0.97,electrochemistry,,10.1016/j.dyepig.2019.107568
8,1_8,NQX12,FALSE,CC(C)CCOC(C=C1)=CC=C1N2C3=C(C=CC=C3)SC4=C2C=CC(/C=C/C5=C(/C=C/C6=CC=C(N(C7=CC=C(OCCC(C)C)C=C7)C(C=CC=C8)=C8S9)C9=C6)N=C%10C(C=C(C%11=CC=C(/C=C(C(O)=O)\C#N)S%11)C(C%12=CC=C(/C=C(C(O)=O)\C#N)S%12)=C%10)=N5)=C4,488,,THF,39810,,,,,,1.22,2.12,-0.9,electrochemistry,,10.1016/j.dyepig.2019.107568
9,1_9, PT1,TRUE,CCCCCCN1C2=C(C=C(/C=C(C(O)=O)\C#N)C=C2)SC3=C1C=CC(C#C[Pt]([P](CCCC)(CCCC)CCCC)([P](CCCC)(CCCC)CCCC)C#CC4=CC=C(OCCCCCC)C=C4)=C3,330,586,CH2Cl2 ,42400,,,,,,-5.18,-2.47,-2.71,theoretical,"330, 447",10.1002/chem.201503828
